reward,steps
16.0,16
10.0,10
18.0,18
14.0,14
9.0,9
11.0,11
13.0,13
15.0,15
8.0,8
19.0,19
8.0,8
9.0,9
10.0,10
9.0,9
12.0,12
9.0,9
10.0,10
11.0,11
10.0,10
11.0,11
11.0,11
9.0,9
11.0,11
8.0,8
11.0,11
12.0,12
7.0,7
10.0,10
10.0,10
8.0,8
8.0,8
15.0,15
8.0,8
9.0,9
11.0,11
8.0,8
9.0,9
9.0,9
14.0,14
10.0,10
9.0,9
8.0,8
10.0,10
10.0,10
9.0,9
8.0,8
8.0,8
9.0,9
8.0,8
8.0,8
8.0,8
10.0,10
8.0,8
9.0,9
10.0,10
10.0,10
9.0,9
9.0,9
10.0,10
7.0,7
8.0,8
8.0,8
9.0,9
8.0,8
8.0,8
9.0,9
9.0,9
9.0,9
8.0,8
9.0,9
9.0,9
9.0,9
8.0,8
7.0,7
7.0,7
10.0,10
9.0,9
7.0,7
13.0,13
8.0,8
9.0,9
10.0,10
8.0,8
7.0,7
9.0,9
9.0,9
9.0,9
7.0,7
11.0,11
11.0,11
9.0,9
9.0,9
10.0,10
9.0,9
8.0,8
8.0,8
10.0,10
9.0,9
8.0,8
9.0,9
8.0,8
7.0,7
8.0,8
13.0,13
9.0,9
8.0,8
9.0,9
8.0,8
10.0,10
12.0,12
8.0,8
8.0,8
10.0,10
10.0,10
7.0,7
9.0,9
12.0,12
9.0,9
9.0,9
9.0,9
9.0,9
9.0,9
10.0,10
7.0,7
8.0,8
9.0,9
8.0,8
9.0,9
8.0,8
8.0,8
9.0,9
9.0,9
8.0,8
8.0,8
7.0,7
8.0,8
11.0,11
9.0,9
9.0,9
8.0,8
8.0,8
8.0,8
8.0,8
8.0,8
9.0,9
8.0,8
9.0,9
8.0,8
11.0,11
8.0,8
9.0,9
8.0,8
7.0,7
9.0,9
8.0,8
7.0,7
9.0,9
10.0,10
8.0,8
8.0,8
8.0,8
8.0,8
9.0,9
8.0,8
9.0,9
8.0,8
8.0,8
9.0,9
9.0,9
7.0,7
8.0,8
8.0,8
10.0,10
11.0,11
9.0,9
8.0,8
7.0,7
10.0,10
8.0,8
9.0,9
9.0,9
10.0,10
8.0,8
9.0,9
8.0,8
7.0,7
9.0,9
8.0,8
10.0,10
8.0,8
8.0,8
9.0,9
8.0,8
10.0,10
8.0,8
9.0,9
7.0,7
8.0,8
7.0,7
9.0,9
