reward,steps
9.0,9
9.0,9
18.0,18
8.0,8
8.0,8
9.0,9
8.0,8
13.0,13
9.0,9
8.0,8
8.0,8
8.0,8
11.0,11
10.0,10
7.0,7
13.0,13
14.0,14
17.0,17
10.0,10
8.0,8
10.0,10
13.0,13
8.0,8
16.0,16
8.0,8
7.0,7
8.0,8
7.0,7
8.0,8
8.0,8
8.0,8
10.0,10
8.0,8
8.0,8
9.0,9
10.0,10
9.0,9
9.0,9
8.0,8
10.0,10
13.0,13
23.0,23
40.0,40
46.0,46
40.0,40
24.0,24
21.0,21
20.0,20
21.0,21
25.0,25
26.0,26
18.0,18
16.0,16
25.0,25
50.0,50
42.0,42
19.0,19
9.0,9
9.0,9
7.0,7
38.0,38
50.0,50
50.0,50
23.0,23
9.0,9
13.0,13
20.0,20
15.0,15
12.0,12
8.0,8
9.0,9
7.0,7
8.0,8
8.0,8
9.0,9
8.0,8
8.0,8
8.0,8
9.0,9
7.0,7
11.0,11
10.0,10
8.0,8
9.0,9
8.0,8
9.0,9
9.0,9
8.0,8
12.0,12
16.0,16
8.0,8
9.0,9
12.0,12
19.0,19
16.0,16
24.0,24
12.0,12
11.0,11
14.0,14
12.0,12
21.0,21
40.0,40
50.0,50
50.0,50
31.0,31
21.0,21
16.0,16
17.0,17
10.0,10
7.0,7
8.0,8
9.0,9
7.0,7
8.0,8
9.0,9
9.0,9
8.0,8
7.0,7
9.0,9
9.0,9
7.0,7
15.0,15
19.0,19
50.0,50
50.0,50
17.0,17
18.0,18
18.0,18
18.0,18
14.0,14
14.0,14
12.0,12
10.0,10
10.0,10
11.0,11
13.0,13
14.0,14
13.0,13
16.0,16
15.0,15
15.0,15
19.0,19
22.0,22
18.0,18
14.0,14
24.0,24
16.0,16
27.0,27
29.0,29
42.0,42
40.0,40
45.0,45
33.0,33
50.0,50
25.0,25
7.0,7
9.0,9
9.0,9
9.0,9
25.0,25
11.0,11
8.0,8
8.0,8
50.0,50
26.0,26
22.0,22
18.0,18
17.0,17
15.0,15
18.0,18
21.0,21
26.0,26
32.0,32
30.0,30
30.0,30
27.0,27
21.0,21
34.0,34
47.0,47
50.0,50
50.0,50
31.0,31
50.0,50
50.0,50
42.0,42
50.0,50
44.0,44
32.0,32
43.0,43
41.0,41
32.0,32
30.0,30
40.0,40
27.0,27
33.0,33
41.0,41
50.0,50
35.0,35
50.0,50
42.0,42
